                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7135,                 1.3062,                 1.8059,                0.74301,                0.58377,                0.64732,                0.32424,                   1.67,                  1.433,                 1.8554,              0.0011224,              0.0011224,              0.0011224
                     35,                  1.783,                 1.3853,                 1.8762,                0.71218,                0.60842,                0.65301,                0.30775,                 1.7499,                 1.4627,                 1.9243,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.7831,                 1.4091,                 1.8693,                0.62019,                0.64553,                0.63044,                0.30165,                 1.7057,                 1.3789,                 1.8717,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.7694,                 1.3457,                 1.8213,                 0.6578,                0.59797,                0.65725,                0.32525,                 1.7195,                 1.3476,                 1.8638,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.7279,                 1.3067,                 1.7964,                0.76166,                0.62975,                0.70168,                0.35556,                 1.6159,                 1.2249,                 1.7781,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.7106,                 1.2301,                 1.7587,                0.66842,                0.68379,                0.69568,                0.35695,                 1.6011,                 1.2094,                 1.7647,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.7737,                 1.3297,                 1.8511,                0.61928,                0.57039,                0.58473,                0.28432,                 1.7661,                 1.6385,                 1.9436,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.6898,                 1.2719,                 1.7511,                0.72337,                0.65828,                0.72036,                0.37366,                 1.6179,                 1.2205,                 1.7928,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.6713,                 1.2354,                 1.7478,                 0.7805,                0.63607,                0.72772,                0.36301,                 1.6544,                 1.2127,                 1.8138,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.7047,                 1.2222,                 1.7516,                0.72919,                0.70136,                0.75958,                0.38854,                 1.6039,                 1.2238,                 1.7664,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.6629,                 1.1928,                 1.7097,                0.71428,                0.55622,                0.65529,                0.35493,                 1.6082,                 1.2127,                 1.7668,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.7572,                 1.2778,                 1.8398,                0.71196,                0.66406,                0.69659,                0.35622,                 1.6612,                  1.228,                 1.7872,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.6925,                 1.2203,                 1.7461,                0.75996,                0.69876,                0.74802,                0.39353,                 1.5947,                 1.1003,                 1.7645,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.6726,                 1.2067,                 1.7514,                0.74005,                0.70392,                0.74435,                0.37311,                 1.6592,                 1.1409,                 1.7807,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.7285,                 1.2382,                 1.7723,                0.72714,                0.69922,                0.72642,                0.37582,                 1.5991,                 1.1403,                 1.7523,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.6466,                 1.1838,                 1.6915,                0.73712,                0.75839,                0.78022,                0.41094,                  1.578,                 1.1238,                 1.7545,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.7033,                 1.2178,                 1.7117,                0.78331,                0.72733,                0.80189,                0.43749,                 1.5201,                 1.0307,                 1.7043,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.6254,                  1.145,                 1.6842,                0.83112,                0.68892,                 0.7856,                 0.4146,                 1.5449,                  1.007,                 1.7212,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.6518,                 1.1548,                 1.7189,                0.83125,                0.73934,                0.80987,                0.43408,                 1.5413,                 1.0228,                 1.7329,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.6831,                 1.2036,                 1.7562,                0.75367,                0.68652,                0.73686,                0.37693,                 1.6638,                 1.1158,                 1.7854,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.6353,                 1.1347,                 1.6989,                0.81406,                0.74716,                0.80515,                0.43105,                 1.5304,                  1.023,                 1.7058,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.6539,                 1.1351,                 1.7197,                0.82253,                0.70608,                0.79182,                0.43013,                 1.5223,                 1.0281,                 1.7022,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.6091,                 1.1208,                 1.6975,                0.80411,                 0.6973,                0.78006,                0.42796,                  1.548,                 1.0515,                 1.7182,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.5734,                 1.1052,                 1.6832,                0.82186,                0.71281,                0.79326,                0.43443,                 1.5143,                 1.0026,                 1.6844,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.6102,                  1.104,                 1.6737,                0.77718,                0.66395,                 0.7627,                0.41053,                  1.526,                 1.0258,                 1.6854,             0.00072631,             0.00072631,             0.00072631
